,Run,Wicket,Run_Conceded,Catch,Opposition,Ground,Date,I_ODI
78,85.0,1.0,58.0,0.0,Best,Home Ground,11 Jan 2010,2942
79,8.0,1.0,62.0,0.0,Best,Abroad Ground,5 Feb 2010,2949
80,0.0,0.0,13.0,0.0,Best,Abroad Ground,8 Feb 2010,2951
81,36.0,4.0,33.0,1.0,Best,Abroad Ground,11 Feb 2010,2953
82,12.0,1.0,42.0,0.0,Best,Home Ground,28 Feb 2010,2964
83,14.0,3.0,32.0,0.0,Best,Home Ground,2 Mar 2010,2965
84,38.0,1.0,45.0,0.0,Best,Home Ground,5 Mar 2010,2968
85,7.0,2.0,49.0,0.0,Best,Abroad Ground,16 Jun 2010,2993
86,20.0,1.0,49.0,3.0,Good,Abroad Ground,18 Jun 2010,2995
87,25.0,2.0,73.0,0.0,Good,Abroad Ground,21 Jun 2010,2998
88,20.0,2.0,35.0,0.0,Best,Abroad Ground,8 Jul 2010,3018
89,1.0,2.0,40.0,1.0,Best,Abroad Ground,10 Jul 2010,3025
90,6.0,0.0,75.0,2.0,Best,Abroad Ground,12 Jul 2010,3026
91,50.0,1.0,52.0,0.0,Average,Abroad Ground,15 Jul 2010,3027
92,33.0,2.0,21.0,0.0,Average,Abroad Ground,16 Jul 2010,3028
93,15.0,2.0,36.0,0.0,Average,Abroad Ground,20 Jul 2010,3029
94,58.0,4.0,41.0,0.0,Best,Home Ground,5 Oct 2010,3051
95,13.0,2.0,45.0,0.0,Best,Home Ground,11 Oct 2010,3054
96,106.0,3.0,54.0,0.0,Best,Home Ground,14 Oct 2010,3056
97,36.0,2.0,35.0,1.0,Best,Home Ground,17 Oct 2010,3058
98,63.0,1.0,37.0,1.0,Average,Home Ground,1 Dec 2010,3071
99,9.0,4.0,39.0,2.0,Average,Home Ground,3 Dec 2010,3073
100,73.0,1.0,57.0,0.0,Average,Home Ground,6 Dec 2010,3075
101,11.0,3.0,58.0,0.0,Average,Home Ground,12 Dec 2010,3078
102,55.0,1.0,61.0,0.0,Best,Home Ground,19 Feb 2011,3100
103,16.0,2.0,28.0,0.0,Average,Home Ground,25 Feb 2011,3108
104,8.0,0.0,1.0,0.0,Good,Home Ground,4 Mar 2011,3118
105,32.0,2.0,49.0,1.0,Best,Home Ground,11 Mar 2011,3127
106,1.0,1.0,38.0,0.0,Average,Home Ground,14 Mar 2011,3131
107,30.0,2.0,46.0,1.0,Best,Home Ground,19 Mar 2011,3138
108,51.0,0.0,34.0,0.0,Good,Home Ground,9 Apr 2011,3149
109,9.0,1.0,35.0,0.0,Good,Home Ground,11 Apr 2011,3150
110,9.0,0.0,48.0,0.0,Good,Home Ground,13 Apr 2011,3151
111,53.0,1.0,48.0,0.0,Average,Abroad Ground,12 Aug 2011,3176
112,26.0,0.0,31.0,0.0,Average,Abroad Ground,14 Aug 2011,3177
113,19.0,2.0,46.0,0.0,Average,Abroad Ground,16 Aug 2011,3179
114,39.0,1.0,25.0,0.0,Average,Abroad Ground,19 Aug 2011,3181
